url;titulo;subeditoria;data;resumo;texto_completo;imagem
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46310-ibge-nao-reconhece-mapa-publicado-por-afiliada-da-tv-globo-em-sergipe;IBGE não reconhece mapa publicado por afiliada da TV Globo em Sergipe;IBGE;01/04/2026;O Instituto Brasileiro de Geografia e Estatística (IBGE) vem a público esclarecer que não reconhece como oficial o mapa veiculado em reportagem exibida...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_03/agencia-nota-a-sociedade-v2.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46302-no-segundo-dia-do-iv-encontro-de-produtores-de-informacao-ibge-avanca-na-definicao-do-quadro-de-indicadores-nacionais-dos-ods;No segundo dia do IV Encontro de Produtores de Informação, IBGE avança na definição do Quadro de Indicadores Nacionais dos ODS;ODS;01/04/2026;Com palestras conduzidas por servidores do IBGE, o segundo dia do IV Encontro de Produtores de Informação visando à Agenda 2030, realizado nesta...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_04/obsbra2capa.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46282-ibge-divulga-a-lista-de-produtos-da-industria-prodlist-industria-2025;IBGE divulga a Lista de Produtos da Indústria - Prodlist-Indústria 2025;PRODLIST;01/04/2026;O Instituto Brasileiro de Geografia e Estatística (IBGE) publicou, nesta quarta-feira (1), a nova edição da Lista de Produtos da Indústria — Prodlist‑Indústria...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/estatisticas_economicas/2026_03/PRODLIST_IsacNbrega-PR.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46286-ibge-promove-serie-de-seminarios-sobre-parcerias-institucionais-em-comemoracao-aos-seus-90-anos;IBGE promove série de seminários sobre parcerias institucionais em comemoração aos seus 90 anos;IBGE;01/04/2026;Entre as ações planejadas para celebrar os 90 anos do Instituto Brasileiro de Geografia e Estatística - IBGE, está a realização de seminários voltados...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_03/ibge1.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46284-celebracao-dos-90-anos-do-ibge-preve-seminarios-tematicos-em-todas-as-unidades-da-federacao;Celebração dos 90 anos do IBGE prevê seminários temáticos em todas as Unidades da Federação;IBGE;01/04/2026;Como parte das comemorações pelos 90 anos do Instituto Brasileiro de Geografia e Estatística - IBGE, serão realizados Seminários Temáticos Estaduais....;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_03/ibge2.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46277-nova-lei-garante-ate-4-anos-de-estabilidade-para-contratos-temporarios-do-ibge;Lei sancionada estabelece prazo máximo de 4 anos para contratos temporários do IBGE;IBGE;31/03/2026;O Instituto Brasileiro de Geografia e Estatística (IBGE) informa que foi sancionada, nesta segunda-feira (30/3), pelo Presidente da República, Luiz...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_01/CDDI_38.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46271-presidente-do-ibge-marcio-pochmann-e-recebido-pelo-ministro-edson-fachin-no-stf;Presidente do IBGE, Marcio Pochmann, é recebido pelo ministro Edson Fachin no STF;IBGE;31/03/2026;O Presidente do Instituto Brasileiro de Geografia e Estatística (IBGE), Marcio Pochmann, realizou, na segunda-feira (30/3), uma visita institucional...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_03/visitafa3.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46263-precos-da-industria-caem-0-25-em-fevereiro-sob-forte-impacto-dos-precos-de-alimentos;Preços da indústria caem 0,25% em fevereiro, sob forte impacto dos preços de alimentos;IPP;31/03/2026;Os preços da indústria nacional variaram -0,25% em fevereiro frente a janeiro (0,32%), influenciados principalmente pelo setor de alimentos, que...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/estatisticas_economicas/2026_03/IPP_Freepik.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46267-comeca-em-brasilia-o-iv-encontro-de-produtores-de-informacao-visando-a-agenda-2030-para-os-objetivos-de-desenvolvimento-sustentavel-ods;Começa em Brasília o IV Encontro de Produtores de Informação visando à Agenda 2030 para os ODS;ODS;30/03/2026;Teve início na manhã desta segunda-feira, 30 de março, o IV Encontro de Produtores de Informação visando à Agenda 2030 para os Objetivos de Desenvolvimento...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_03/odsbracapa.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46265-ibge-inicia-comemoracoes-de-seus-90-anos-com-lancamento-de-publicacoes-no-palacio-itamaraty;IBGE inicia comemorações de seus 90 anos com lançamento de publicações no Palácio Itamaraty;IBGE;30/03/2026;No próximo dia 4 de maio, o Instituto Brasileiro de Geografia e Estatística - IBGE dará início às ações comemorativas de seus 90 anos de história...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_03/mosaico-itamaraty-ibge-eventos_1.png
